tgDataLogger2 started logging at time 01112017_141027, with 7 sensors on 1 senseable objects.
time,0_compound(compound_4cBWDx).X,0_compound(compound_4cBWDx).Y,0_compound(compound_4cBWDx).Z,0_compound(compound_4cBWDx).Euler1,0_compound(compound_4cBWDx).Euler2,0_compound(compound_4cBWDx).Euler3,0_compound(compound_4cBWDx).mass,1_compound(compound_S22Jjz).X,1_compound(compound_S22Jjz).Y,1_compound(compound_S22Jjz).Z,1_compound(compound_S22Jjz).Euler1,1_compound(compound_S22Jjz).Euler2,1_compound(compound_S22Jjz).Euler3,1_compound(compound_S22Jjz).mass,2_compound(compound_V41mtz).X,2_compound(compound_V41mtz).Y,2_compound(compound_V41mtz).Z,2_compound(compound_V41mtz).Euler1,2_compound(compound_V41mtz).Euler2,2_compound(compound_V41mtz).Euler3,2_compound(compound_V41mtz).mass,3_compound(compound_cCHryD).X,3_compound(compound_cCHryD).Y,3_compound(compound_cCHryD).Z,3_compound(compound_cCHryD).Euler1,3_compound(compound_cCHryD).Euler2,3_compound(compound_cCHryD).Euler3,3_compound(compound_cCHryD).mass,4_compound(compound_fa37Jn).X,4_compound(compound_fa37Jn).Y,4_compound(compound_fa37Jn).Z,4_compound(compound_fa37Jn).Euler1,4_compound(compound_fa37Jn).Euler2,4_compound(compound_fa37Jn).Euler3,4_compound(compound_fa37Jn).mass,5_compound(compound_hMaiRr).X,5_compound(compound_hMaiRr).Y,5_compound(compound_hMaiRr).Z,5_compound(compound_hMaiRr).Euler1,5_compound(compound_hMaiRr).Euler2,5_compound(compound_hMaiRr).Euler3,5_compound(compound_hMaiRr).mass,6_compound(compound_sbzayy).X,6_compound(compound_sbzayy).Y,6_compound(compound_sbzayy).Z,6_compound(compound_sbzayy).Euler1,6_compound(compound_sbzayy).Euler2,6_compound(compound_sbzayy).Euler3,6_compound(compound_sbzayy).mass,
0.0101,-35.9952,15,0,,,,0.195487,-47.9935,15,-2.71051e-24,,,,0.195487,-71.9899,15,0,,,,0.195487,-11.9985,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9917,15,0,,,,0.195487,-23.9969,15,5.42101e-24,,,,0.195487,
0.0202,-35.9901,15,0,,,,0.195487,-47.9866,15,-2.71051e-24,,,,0.195487,-71.9797,15,0,,,,0.195487,-11.9968,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9831,15,0,,,,0.195487,-23.9935,15,5.42101e-24,,,,0.195487,
0.0303,-35.9856,15,0,,,,0.195487,-47.9807,15,-2.71051e-24,,,,0.195487,-71.9708,15,0,,,,0.195487,-11.9954,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9757,15,0,,,,0.195487,-23.9906,15,5.42101e-24,,,,0.195487,
0.0404,-35.9818,15,0,,,,0.195487,-47.9755,15,-2.71051e-24,,,,0.195487,-71.9631,15,0,,,,0.195487,-11.9942,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9692,15,0,,,,0.195487,-23.988,15,5.42101e-24,,,,0.195487,
0.0505,-35.9783,15,0,,,,0.195487,-47.9708,15,-2.71051e-24,,,,0.195487,-71.9561,15,0,,,,0.195487,-11.9932,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9632,15,0,,,,0.195487,-23.9858,15,5.42101e-24,,,,0.195487,
0.0606,-35.9751,15,0,,,,0.195487,-47.9663,15,-2.71051e-24,,,,0.195487,-71.9494,15,0,,,,0.195487,-11.9923,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9576,15,0,,,,0.195487,-23.9838,15,5.42101e-24,,,,0.195487,
0.0707,-35.972,15,0,,,,0.195487,-47.9622,15,-2.71051e-24,,,,0.195487,-71.9432,15,0,,,,0.195487,-11.9915,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9524,15,0,,,,0.195487,-23.9818,15,5.42101e-24,,,,0.195487,
0.0808,-35.9692,15,0,,,,0.195487,-47.9583,15,-2.71051e-24,,,,0.195487,-71.9374,15,0,,,,0.195487,-11.9908,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9474,15,0,,,,0.195487,-23.9801,15,5.42101e-24,,,,0.195487,
0.0909,-35.9665,15,9.62772e-21,,,,0.195487,-47.9546,15,-7.11508e-21,,,,0.195487,-71.9319,15,0,,,,0.195487,-11.9901,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9428,15,0,,,,0.195487,-23.9784,15,3.12792e-21,,,,0.195487,
0.101,-35.9641,15,5.17815e-20,,,,0.195487,-47.9512,15,-4.233e-20,,,,0.195487,-71.9268,15,0,,,,0.195487,-11.9895,15,-2.71051e-24,,,,0.195487,0,0,0,,,,0,-59.9384,15,-8.67362e-23,,,,0.195487,-23.9769,15,2.82814e-20,,,,0.195487,
0.1111,-35.9617,15,1.21951e-19,,,,0.195487,-47.9479,15,-5.22179e-20,,,,0.195487,-71.922,15,0,,,,0.195487,-11.9889,15,-2.9493e-20,,,,0.195487,0,0,0,,,,0,-59.9343,15,-2.32453e-20,,,,0.195487,-23.9755,15,3.21845e-20,,,,0.195487,
0.1212,-35.9595,15,2.07473e-19,,,,0.195487,-47.9449,15,-3.38542e-21,,,,0.195487,-71.9175,15,0,,,,0.195487,-11.9884,15,-7.54632e-20,,,,0.195487,0,0,0,,,,0,-59.9304,15,2.15973e-20,,,,0.195487,-23.9741,15,1.35921e-19,,,,0.195487,
0.1313,-35.9578,15,2.55351e-19,,,,0.195487,-47.9428,15,1.00611e-19,,,,0.195487,-71.9143,15,0,,,,0.195487,-11.9879,15,4.79624e-20,,,,0.195487,0,0,0,,,,0,-59.9279,15,4.95264e-20,,,,0.195487,-23.9729,15,2.12249e-19,,,,0.195487,
0.1414,-35.957,15,2.45247e-19,,,,0.195487,-47.9417,15,2.25121e-19,,,,0.195487,-71.9125,15,0,,,,0.195487,-11.9874,15,3.21875e-19,,,,0.195487,0,0,0,,,,0,-59.9266,15,2.47545e-19,,,,0.195487,-23.9722,15,2.25693e-19,,,,0.195487,
0.1515,-35.9565,15,1.10849e-19,,,,0.195487,-47.9412,15,5.05886e-19,,,,0.195487,-71.9115,15,0,,,,0.195487,-11.9871,15,5.79135e-19,,,,0.195487,0,0,0,,,,0,-59.926,15,4.43916e-19,,,,0.195487,-23.9718,15,3.45953e-19,,,,0.195487,
0.1616,-35.9562,15,-4.22015e-19,,,,0.195487,-47.9409,15,8.44244e-19,,,,0.195487,-71.9108,15,0,,,,0.195487,-11.9867,15,8.19567e-19,,,,0.195487,0,0,0,,,,0,-59.9256,15,7.0664e-19,,,,0.195487,-23.9715,15,5.87513e-19,,,,0.195487,
0.1717,-35.9559,15,-8.78854e-19,,,,0.195487,-47.9406,15,1.15688e-18,,,,0.195487,-71.9104,15,0,,,,0.195487,-11.9865,15,1.11837e-18,,,,0.195487,0,0,0,,,,0,-59.9254,15,1.03511e-18,,,,0.195487,-23.9712,15,8.38137e-19,,,,0.195487,
0.1818,-35.9557,15,-1.32051e-18,,,,0.195487,-47.9404,15,1.2987e-18,,,,0.195487,-71.9101,15,0,,,,0.195487,-11.9862,15,1.47187e-18,,,,0.195487,0,0,0,,,,0,-59.9252,15,1.36965e-18,,,,0.195487,-23.971,15,9.78867e-19,,,,0.195487,
0.1919,-35.9555,15,-1.90234e-18,,,,0.195487,-47.9402,15,1.31292e-18,,,,0.195487,-71.9098,15,0,,,,0.195487,-11.986,15,1.86513e-18,,,,0.195487,0,0,0,,,,0,-59.925,15,1.65449e-18,,,,0.195487,-23.9707,15,1.06595e-18,,,,0.195487,
0.202,-35.9553,15,-2.35792e-18,,,,0.195487,-47.94,15,1.3222e-18,,,,0.195487,-71.9096,15,0,,,,0.195487,-11.9858,15,2.23987e-18,,,,0.195487,0,0,0,,,,0,-59.9248,15,1.91149e-18,,,,0.195487,-23.9706,15,1.08095e-18,,,,0.195487,
0.2121,-35.9551,15,-2.80258e-18,,,,0.195487,-47.9399,15,1.57083e-18,,,,0.195487,-71.9094,15,0,,,,0.195487,-11.9856,15,2.63114e-18,,,,0.195487,0,0,0,,,,0,-59.9246,15,2.15982e-18,,,,0.195487,-23.9704,15,9.13511e-19,,,,0.195487,
0.2222,-35.955,15,-3.17177e-18,,,,0.195487,-47.9397,15,1.92962e-18,,,,0.195487,-71.9093,15,0,,,,0.195487,-11.9855,15,3.05172e-18,,,,0.195487,0,0,0,,,,0,-59.9245,15,2.44839e-18,,,,0.195487,-23.9702,15,7.81628e-19,,,,0.195487,
0.2323,-35.9548,15,-3.63876e-18,,,,0.195487,-47.9396,15,2.17786e-18,,,,0.195487,-71.9091,15,0,,,,0.195487,-11.9853,15,3.52483e-18,,,,0.195487,0,0,0,,,,0,-59.9243,15,2.75639e-18,,,,0.195487,-23.9701,15,5.09494e-19,,,,0.195487,
0.2424,-35.9547,15,-4.26226e-18,,,,0.195487,-47.9395,15,2.65868e-18,,,,0.195487,-71.909,15,0,,,,0.195487,-11.9852,15,4.08037e-18,,,,0.195487,0,0,0,,,,0,-59.9242,15,3.07532e-18,,,,0.195487,-23.9699,15,1.426e-19,,,,0.195487,
0.2525,-35.9546,15,-4.78402e-18,,,,0.195487,-47.9393,15,3.38735e-18,,,,0.195487,-71.9089,15,0,,,,0.195487,-11.9851,15,4.68089e-18,,,,0.195487,0,0,0,,,,0,-59.9241,15,3.2912e-18,,,,0.195487,-23.9698,15,-1.25979e-19,,,,0.195487,
0.2626,-35.9545,15,-4.32584e-18,,,,0.195487,-47.9392,15,2.86572e-18,,,,0.195487,-71.9088,15,2.53703e-19,,,,0.195487,-11.985,15,4.86477e-18,,,,0.195487,0,0,0,,,,0,-59.924,15,3.77224e-18,,,,0.195487,-23.9697,15,1.47612e-18,,,,0.195487,
0.2727,-35.9544,15,-2.2921e-16,,,,0.195487,-47.9392,15,2.28352e-16,,,,0.195487,-71.9087,15,2.21374e-16,,,,0.195487,-11.9849,15,2.10625e-16,,,,0.195487,0,0,0,,,,0,-59.9239,15,-2.19132e-16,,,,0.195487,-23.9696,15,-3.83104e-18,,,,0.195487,
0.2828,-35.9543,15,-6.54754e-18,,,,0.195487,-47.9391,15,-2.13703e-16,,,,0.195487,-71.9086,15,-2.22585e-16,,,,0.195487,-11.9848,15,2.5133e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,4.47857e-16,,,,0.195487,-23.9696,15,-2.13674e-16,,,,0.195487,
0.2929,-35.9543,15,-2.30534e-16,,,,0.195487,-47.9391,15,2.29122e-16,,,,0.195487,-71.9086,15,4.43702e-16,,,,0.195487,-11.9848,15,-6.66381e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-4.44497e-16,,,,0.195487,-23.9695,15,-2.2282e-16,,,,0.195487,
0.303,-35.9543,15,-7.23289e-18,,,,0.195487,-47.9391,15,-2.12149e-16,,,,0.195487,-71.9086,15,-1.51754e-18,,,,0.195487,-11.9848,15,4.84585e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,2.21471e-16,,,,0.195487,-23.9695,15,9.29379e-18,,,,0.195487,
0.3131,-35.9543,15,-1.14348e-17,,,,0.195487,-47.939,15,3.38184e-18,,,,0.195487,-71.9086,15,-1.44329e-18,,,,0.195487,-11.9848,15,4.58159e-17,,,,0.195487,0,0,0,,,,0,-59.9238,15,1.39888e-18,,,,0.195487,-23.9695,15,4.88149e-16,,,,0.195487,
0.3232,-35.9543,15,4.30666e-16,,,,0.195487,-47.9391,15,-2.1943e-16,,,,0.195487,-71.9086,15,2.21949e-18,,,,0.195487,-11.9848,15,7.03873e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-9.23549e-18,,,,0.195487,-23.9695,15,-1.38854e-16,,,,0.195487,
0.3333,-35.9543,15,4.64478e-16,,,,0.195487,-47.939,15,-2.36656e-16,,,,0.195487,-71.9086,15,5.4132e-19,,,,0.195487,-11.9848,15,2.22082e-17,,,,0.195487,0,0,0,,,,0,-59.9238,15,-1.31543e-17,,,,0.195487,-23.9695,15,-3.77013e-16,,,,0.195487,
0.3434,-35.9543,15,-3.82665e-16,,,,0.195487,-47.9391,15,1.89082e-16,,,,0.195487,-71.9086,15,5.12645e-18,,,,0.195487,-11.9848,15,-5.88401e-18,,,,0.195487,0,0,0,,,,0,-59.9238,15,-1.47047e-17,,,,0.195487,-23.9695,15,-2.2964e-16,,,,0.195487,
0.3535,-35.9543,15,-8.88246e-16,,,,0.195487,-47.9391,15,-1.48159e-17,,,,0.195487,-71.9086,15,2.36544e-16,,,,0.195487,-11.9848,15,-4.68117e-17,,,,0.195487,0,0,0,,,,0,-59.9238,15,2.10512e-16,,,,0.195487,-23.9695,15,-4.80901e-16,,,,0.195487,
0.3636,-35.9543,15,-7.59368e-17,,,,0.195487,-47.9391,15,-3.23591e-18,,,,0.195487,-71.9086,15,2.41581e-16,,,,0.195487,-11.9848,15,-2.8189e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-2.2799e-16,,,,0.195487,-23.9695,15,-5.28135e-16,,,,0.195487,
0.3737,-35.9543,15,-3.42602e-16,,,,0.195487,-47.9391,15,-2.47056e-16,,,,0.195487,-71.9086,15,1.90343e-17,,,,0.195487,-11.9848,15,4.5208e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-2.34703e-16,,,,0.195487,-23.9695,15,5.8015e-16,,,,0.195487,
0.3838,-35.9543,15,3.24358e-16,,,,0.195487,-47.9391,15,3.62057e-16,,,,0.195487,-71.9086,15,-2.08615e-16,,,,0.195487,-11.9848,15,-2.42953e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-2.50648e-16,,,,0.195487,-23.9695,15,-8.86642e-16,,,,0.195487,
0.3939,-35.9543,15,9.06583e-16,,,,0.195487,-47.9391,15,-3.93673e-16,,,,0.195487,-71.9086,15,3.32234e-18,,,,0.195487,-11.9848,15,2.07635e-16,,,,0.195487,0,0,0,,,,0,-59.9238,15,-9.58419e-16,,,,0.195487,-23.9695,15,3.79629e-16,,,,0.195487,
0.404,-35.9543,15,7.00112e-16,,,,0.195487,-47.9391,15,-2.3241e-16,,,,0.195487,-71.9086,15,-2.46821e-16,,,,0.195487,-11.9848,15,-2.23589e-17,,,,0.195487,0,0,0,,,,0,-59.9238,15,-1.0311e-15,,,,0.195487,-23.9695,15,5.14533e-17,,,,0.195487,
